highway,N,region
primary,496,AC
tertiary,364,AC
secondary,210,AC
trunk,96,AC
tertiary,1972,AL
primary,1585,AL
secondary,597,AL
trunk,302,AL
secondary,807,AM
primary,314,AM
tertiary,1575,AM
primary,157,AP
secondary,84,AP
tertiary,313,AP
secondary,3988,BA
tertiary,15470,BA
primary,5457,BA
trunk,1022,BA
motorway,211,BA
secondary,3466,CE
primary,3351,CE
tertiary,4160,CE
trunk,686,CE
motorway,211,CE
trunk,559,DF
tertiary,4277,DF
secondary,1988,DF
primary,1426,DF
motorway,95,DF
tertiary,8835,ES
secondary,3368,ES
primary,2429,ES
trunk,921,ES
motorway,309,GO
secondary,2835,GO
primary,3835,GO
tertiary,5479,GO
trunk,371,GO
primary,1944,MA
secondary,1465,MA
tertiary,2656,MA
trunk,213,MA
motorway,1962,MG
secondary,17405,MG
primary,11754,MG
trunk,2249,MG
primary,3594,MS
secondary,2051,MS
trunk,123,MS
motorway,2,MS
trunk,503,MT
primary,1995,MT
secondary,2169,MT
motorway,41,MT
primary,1923,PA
secondary,2103,PA
trunk,174,PA
primary,2344,PB
secondary,2995,PB
trunk,619,PB
motorway,309,PB
secondary,3196,PE
primary,3348,PE
trunk,867,PE
motorway,164,PE
primary,1750,PI
trunk,23,PI
secondary,1841,PI
trunk,2845,PR
motorway,1499,PR
primary,6228,PR
secondary,8744,PR
motorway,1723,RJ
trunk,1615,RJ
secondary,5898,RJ
primary,4161,RJ
primary,1871,RN
secondary,2401,RN
trunk,357,RN
trunk,30,RO
secondary,599,RO
primary,533,RO
primary,428,RR
secondary,877,RR
trunk,2,RR
motorway,866,RS
secondary,12723,RS
trunk,5322,RS
primary,6008,RS
trunk,1469,SC
primary,6826,SC
secondary,9969,SC
motorway,1982,SC
primary,1049,SE
trunk,252,SE
secondary,1140,SE
motorway,10269,SP
trunk,3668,SP
primary,20609,SP
secondary,34647,SP
primary,1535,TO
secondary,784,TO
